Date,Leads,Email_Promo,Road_Show,Event,Display_Ads,Email_Promo_spent,Road_Show_spent,Event_spent,Display_Ads_spent,Est_Rev
2014/11/03,2,1,1,0,1,5000,10000,0,7500,52800.11
2014/11/04,1,1,0,1,1,5000,0,15000,7500,27500.11
2014/11/05,1,1,0,1,1,5000,0,15000,7500,49500.11
2014/11/06,1,1,0,1,0,5000,0,15000,0,27500.11
2014/11/07,2,1,1,1,0,5000,10000,15000,0,55000.11
2014/11/18,1,1,0,1,0,5000,0,15000,0,27500.11
2014/11/19,1,0,0,1,0,0,0,15000,0,27500.11
2014/11/23,1,1,1,0,1,5000,10000,0,7500,26400.11
2014/11/24,2,1,0,1,1,5000,0,15000,7500,55000.11
2014/11/25,36,1,1,1,1,5000,10000,15000,7500,1296900.11
2014/11/27,1,1,0,1,0,5000,0,15000,0,27500.11
2014/12/02,1,1,1,1,0,5000,10000,15000,0,36300.11
2014/12/04,2,1,0,1,0,5000,0,15000,0,99000.11
2014/12/05,1,0,0,1,0,0,0,15000,0,27500.11
2014/12/09,1,1,1,0,1,5000,10000,0,7500,27500.11
2014/12/10,3,1,0,1,1,5000,0,15000,7500,82500.11
2014/12/11,2,1,0,1,1,5000,0,15000,7500,55000.11
2014/12/15,3,1,0,1,0,5000,0,15000,0,100100.11
2014/12/16,1,1,1,1,0,5000,10000,15000,0,36300.11
2014/12/19,2,1,0,1,0,5000,0,15000,0,55000.11
2014/12/22,1,1,1,0,1,5000,10000,0,7500,27500.11
2014/12/23,1,1,0,1,1,5000,0,15000,7500,27500.11
2014/12/24,1,1,0,1,1,5000,0,15000,7500,27500.11
2014/12/26,2,1,0,1,0,5000,0,15000,0,55000.11
2014/12/29,1,1,1,1,0,5000,10000,15000,0,27500.11
2015/01/02,1,1,0,1,0,5500,0,15000,0,27500.11
2015/01/05,5,0,0,1,0,0,0,15000,0,163900.11
2015/01/06,2,1,1,0,1,5500,10000,0,7500,63800.11
2015/01/07,3,1,0,1,1,5500,0,15000,7500,100100.11
2015/01/08,5,1,0,1,1,5500,0,15000,7500,154000.11
2015/01/09,1,1,0,1,0,5500,0,15000,0,36300.11
2015/01/12,6,1,1,0,1,5500,10000,0,7500,182600.11
2015/01/13,10,1,0,1,1,5500,0,15000,7500,319000.11
2015/01/14,2,1,0,1,1,5500,0,15000,7500,72600.11
2015/01/15,4,1,0,1,0,5500,0,15000,0,145200.11
2015/01/16,4,1,1,1,0,5500,10000,15000,0,127600.11
2015/01/19,8,1,0,1,0,5500,0,15000,0,264000.11
2015/01/20,5,0,0,1,0,0,0,15000,0,163900.11
2015/01/21,168,1,1,0,1,5500,10000,0,7500,4620000.11
2015/01/22,3,1,0,1,1,5500,0,15000,7500,91300.11
2015/01/23,3,1,0,1,1,5500,0,15000,7500,82500.11
2015/01/24,1,1,0,1,0,5500,0,15000,0,26400.11
2015/01/26,2,1,1,0,1,5500,10000,0,7500,77000.11
2015/01/27,3,1,0,1,1,5500,0,15000,7500,90200.11
2015/01/28,2,1,0,1,1,5500,0,15000,7500,77000.11
2015/01/29,2,1,0,1,0,5500,0,15000,0,55000.11
2015/01/30,2,1,1,1,0,5500,10000,15000,0,63800.11
2015/02/02,2,1,0,1,0,5500,0,15000,0,63800.11
2015/02/03,1,0,0,1,0,0,0,15000,0,27500.11
2015/02/04,5,1,1,0,1,5500,10000,0,7500,146300.11
2015/02/05,1,1,0,1,1,5500,0,15000,7500,27500.11
2015/02/09,1,1,0,1,1,5500,0,15000,7500,36300.11
2015/02/10,1,1,0,1,0,5500,0,15000,0,27500.11
2015/02/11,1,1,1,0,1,5500,10000,0,7500,27500.11
2015/02/12,2,1,0,1,1,5500,0,15000,7500,55000.11
2015/02/26,1,1,0,1,1,5500,0,15000,7500,36300.11
2015/02/27,1,1,0,1,0,5500,0,15000,0,27500.11
2015/03/02,1,1,1,1,0,5500,10000,15000,0,26400.11
2015/03/03,1,1,0,1,0,5500,0,15000,0,27500.11
2015/03/04,1,0,0,1,0,0,0,15000,0,27500.11
2015/03/05,1,1,1,0,1,5500,10000,0,7500,36300.11
2015/03/09,2,1,0,1,1,5500,0,15000,7500,55000.11
2015/03/10,1,1,0,1,1,5500,0,15000,7500,27500.11
2015/03/11,1,1,0,1,0,5500,0,15000,0,27500.11
2015/03/12,5,1,1,0,1,5500,10000,0,7500,146300.11
2015/03/13,5,1,0,1,1,5500,0,15000,7500,168300.11
2015/03/16,3,1,0,1,1,5500,0,15000,7500,100100.11
2015/03/17,4,1,0,1,0,5500,0,15000,0,110000.11
2015/03/18,1,1,1,1,0,5500,10000,15000,0,36300.11
2015/03/19,1,1,0,1,0,5500,0,15000,0,27500.11
2015/03/20,11,0,0,1,0,0,0,15000,0,390500.11
